Switzerland,CHALLENGE LEAGUE,144
Switzerland,Schweizer Pokal(KUP),145
Switzerland,SUPER LEAGUE,146
Syria,PREMIER LEAGUE,147
Thailand,PREMIER LEAGUE,148
Tunisia,LIGUE 1,149
Turkey,1. Lig,150
Turkey,SUPER LIG,151
Uganda,PREMIER LEAGUE,152
Ukraine,DIVISION 1,153
Ukraine,PREMIER LEAGUE,154
United Arab Emirates,Arabian Gulf League,155
Uruguay,Primera Division,156
USA,MAJOR LEAGUE SOCCER,157
USA,USL(NA),158
Uzbekistan,PROFESSIONAL FOOTBALL LEAGUE,159
Venezuela,PRIMERA DIVISION/TORNEO ADECUACION/APERTURA/CLAUSURA,160
Vietnam,V.LEAGUE 1,161
Wales,PREMIER,162
